,c_cluster,cancelled_contracts,claims_rate,educ,first_policy,has_all,has_children,is_profit,location,mon_value,p_cluster,premium_health,premium_household,premium_life,premium_motor,premium_total,premium_work_comp,salary_year
0,1,0,0.39,2 - High School,1985.0,1,1.0,1,1.0,380.97,0,146.36,79.45,47.01,375.85,665.5600000000001,16.89,26124.0
1,0,0,1.12,2 - High School,1981.0,1,1.0,0,4.0,-131.13,1,116.69,416.2,194.48,77.46,910.9599999999999,106.13,8124.0
2,1,0,0.28,1 - Basic,1991.0,1,0.0,1,3.0,504.67,1,124.58,224.5,86.35,206.15,740.6,99.02,27324.0
3,0,0,0.99,3 - BSc/MSc,1990.0,1,1.0,0,4.0,-16.99,1,311.17,43.35,35.34,182.48,600.6800000000001,28.34,13188.0
4,0,0,0.9,3 - BSc/MSc,1986.0,1,1.0,1,4.0,35.23,0,182.59,47.8,18.78,338.62,629.24,41.45,21156.0
5,0,0,1.0,2 - High School,1986.0,1,1.0,0,4.0,-24.33,0,114.8,18.9,7.0,440.75,589.1199999999999,7.67,30792.0
6,0,0,1.05,2 - High School,1979.0,1,0.0,0,4.0,-66.01,1,317.95,295.6,14.67,156.92,811.48,26.34,49236.0
7,0,0,1.13,2 - High School,1988.0,1,1.0,0,4.0,-144.91,1,144.36,397.3,66.68,248.27,909.8400000000001,53.23,20916.0
8,1,0,0.36,3 - BSc/MSc,1981.0,1,1.0,1,1.0,356.53,0,210.04,18.35,8.78,344.51,591.5699999999999,9.89,22344.0
9,0,0,1.12,3 - BSc/MSc,1976.0,1,0.0,0,1.0,-119.35,1,271.94,182.25,39.23,209.26,757.8000000000001,55.12,46104.0
10,1,0,0.53,3 - BSc/MSc,1990.0,1,0.0,1,4.0,290.17,0,227.71,116.7,18.67,296.5,670.4699999999999,10.89,47940.0
11,1,0,0.46,3 - BSc/MSc,1985.0,1,1.0,1,3.0,405.74,1,252.38,216.7,36.34,249.49,790.36,35.45,34008.0
12,0,0,0.97,3 - BSc/MSc,1981.0,1,0.0,1,1.0,2.34,1,257.05,340.05,43.12,206.04,862.0400000000001,15.78,45084.0
13,0,0,1.06,1 - Basic,1983.0,1,1.0,0,3.0,-75.12,1,127.69,342.85,267.94,44.34,877.2800000000002,94.46,12516.0
14,0,1,1.12,2 - High School,1983.0,0,1.0,0,1.0,-89.0,0,72.79,-70.0,10.89,504.43,605.0,16.89,23772.0
15,1,1,0.53,3 - BSc/MSc,1988.0,0,1.0,1,4.0,290.06,0,247.49,93.9,-3.0,318.06,679.12,19.67,11688.0
16,0,0,0.89,2 - High School,1991.0,1,1.0,1,1.0,100.58,1,168.92,647.35,125.58,119.8,1098.8799999999999,37.23,29244.0
17,0,0,0.85,3 - BSc/MSc,1981.0,1,1.0,1,4.0,78.91,0,86.35,107.8,3.89,446.64,672.2399999999999,27.56,32736.0
18,0,0,0.71,1 - Basic,1981.0,1,1.0,1,3.0,230.38,0,121.8,373.4,14.78,313.17,895.7199999999998,72.57,16968.0
19,1,0,0.36,4 - PhD,1988.0,1,1.0,1,1.0,352.96,0,125.69,9.45,24.45,402.41,592.56,30.56,33012.0
20,1,0,0.39,4 - PhD,1986.0,1,1.0,1,4.0,373.73,0,221.93,65.0,3.89,329.84,654.0,33.34,20448.0
21,0,0,1.08,2 - High School,1976.0,1,1.0,0,1.0,-89.79,1,192.48,308.95,64.79,209.04,830.16,54.9,17940.0
22,1,0,0.64,2 - High School,1998.0,1,1.0,1,4.0,290.05,1,248.38,329.5,48.01,222.04,881.49,33.56,34440.0
23,0,0,0.81,3 - BSc/MSc,1988.0,1,0.0,1,4.0,108.13,0,135.58,128.35,15.67,420.3,704.68,4.78,38412.0
24,1,0,0.41,4 - PhD,1974.0,1,0.0,1,2.0,376.3,0,154.14,103.9,17.56,383.74,675.1199999999999,15.78,45312.0
25,1,1,0.38,4 - PhD,1978.0,0,0.0,1,3.0,430.86,0,228.82,162.8,-5.0,330.84,745.24,22.78,51372.0
26,0,0,0.97,4 - PhD,1979.0,1,0.0,0,1.0,-7.22,0,112.91,58.9,17.78,449.75,649.1199999999999,9.78,43428.0
27,1,1,0.5,3 - BSc/MSc,1995.0,0,0.0,1,4.0,264.17,0,258.05,18.9,-4.0,301.28,578.23,-0.11,43668.0
28,0,1,0.96,3 - BSc/MSc,1980.0,0,0.0,1,3.0,2.0,0,54.9,25.0,7.0,524.21,611.11,-5.0,31920.0
29,1,1,0.19,2 - High School,1988.0,0,1.0,1,4.0,427.76,0,92.24,-15.0,3.89,483.09,579.2199999999999,-5.11,25776.0
30,1,0,0.69,2 - High School,1984.0,1,0.0,1,4.0,240.16,0,146.25,335.05,46.12,320.95,858.04,9.67,41880.0
31,0,0,0.96,3 - BSc/MSc,1989.0,1,1.0,0,4.0,-2.44,0,89.24,19.45,4.78,473.09,594.4499999999999,7.89,25512.0
32,0,0,0.97,2 - High School,1987.0,1,1.0,0,1.0,-5.55,0,179.7,19.45,22.56,373.96,606.5599999999998,10.89,19212.0
33,1,0,0.48,3 - BSc/MSc,1979.0,1,0.0,1,3.0,336.07,0,131.58,123.35,40.23,320.84,688.6800000000001,72.68,43944.0
34,0,0,0.89,2 - High School,1990.0,1,0.0,1,3.0,53.8,1,125.8,190.6,111.8,241.49,735.4799999999999,65.79,29040.0
35,0,1,0.94,2 - High School,1982.0,0,1.0,1,4.0,7.24,0,145.25,-25.55,26.56,320.95,577.11,84.35,28812.0
36,0,0,1.01,2 - High School,1976.0,1,0.0,0,1.0,-31.78,0,68.57,68.9,3.0,495.87,646.1199999999999,9.78,40116.0
37,0,0,0.98,2 - High School,1985.0,1,0.0,0,3.0,-14.22,1,357.18,142.8,53.01,104.02,697.24,40.23,47820.0
38,0,0,0.96,3 - BSc/MSc,1980.0,1,0.0,0,1.0,-1.55,0,207.04,63.35,17.67,334.84,628.68,5.78,46296.0
39,0,0,0.84,2 - High School,1994.0,1,1.0,1,4.0,121.36,1,135.47,455.65,146.36,52.01,937.52,148.03,14124.0
40,1,0,0.47,3 - BSc/MSc,1988.0,1,1.0,1,1.0,402.63,1,130.47,270.6,108.02,265.05,799.4800000000001,25.34,39072.0
41,2,0,0.19,2 - High School,1994.0,1,1.0,1,4.0,710.8,0,168.92,383.4,3.0,323.84,904.7199999999999,25.56,25392.0
42,0,0,1.07,2 - High School,1994.0,1,1.0,0,2.0,-77.01,1,284.61,249.5,52.01,159.14,768.6,23.34,16236.0
43,0,1,1.19,3 - BSc/MSc,1985.0,0,1.0,0,1.0,-128.68,1,208.26,-35.0,224.71,111.8,589.0,44.23,12780.0
44,2,0,0.38,3 - BSc/MSc,1991.0,1,1.0,1,3.0,624.34,1,180.59,540.1,106.13,139.58,1042.19,75.79,23244.0
45,0,0,1.08,3 - BSc/MSc,1976.0,1,1.0,0,4.0,-94.9,1,143.25,300.6,59.79,269.94,843.4799999999999,69.9,14628.0
46,1,0,0.63,2 - High School,1977.0,1,0.0,1,3.0,279.28,1,209.04,265.6,72.68,254.38,824.48,22.78,50796.0
47,0,1,1.2,3 - BSc/MSc,1985.0,0,1.0,0,3.0,-132.88,0,92.24,-45.55,1.89,468.09,577.1099999999999,14.89,28572.0
48,0,0,0.99,2 - High School,1986.0,1,1.0,0,1.0,-21.11,0,166.92,18.9,16.78,396.74,603.2299999999999,3.89,31920.0
49,1,0,0.32,3 - BSc/MSc,1983.0,1,1.0,1,4.0,420.64,0,105.02,102.25,4.78,435.75,657.6899999999999,9.89,18828.0
50,0,1,1.14,3 - BSc/MSc,1986.0,0,1.0,0,3.0,-104.21,0,212.04,-40.55,12.78,360.4,596.1099999999999,10.89,23520.0
51,0,0,0.98,2 - High School,1983.0,1,1.0,0,1.0,-11.33,1,295.61,236.7,44.12,177.59,784.47,30.45,13776.0
52,1,0,0.59,3 - BSc/MSc,1993.0,1,0.0,1,3.0,264.5,0,227.6,157.25,12.89,305.17,705.6899999999999,2.78,41292.0
53,0,1,0.98,3 - BSc/MSc,1995.0,0,1.0,0,2.0,-15.22,0,17.56,44.45,-1.11,559.66,632.56,10.89,34620.0
54,1,0,0.13,3 - BSc/MSc,1995.0,1,1.0,1,4.0,540.55,0,36.45,30.0,6.0,569.55,652.0,10.0,26808.0
55,1,0,0.66,2 - High School,1992.0,1,0.0,1,4.0,294.94,1,155.25,452.3,69.68,207.93,947.84,62.68,42456.0
56,1,0,0.41,2 - High School,1978.0,1,1.0,1,2.0,448.98,1,168.92,260.05,72.68,286.61,805.04,16.78,35040.0
57,0,0,0.81,2 - High School,1997.0,1,1.0,1,3.0,120.48,0,84.35,249.5,52.9,341.73,779.6,51.12,26340.0
58,1,0,0.68,3 - BSc/MSc,1983.0,1,1.0,1,4.0,226.93,0,217.82,246.15,30.34,278.83,778.92,5.78,49308.0
59,0,0,0.68,2 - High School,1993.0,1,1.0,1,1.0,224.5,0,165.81,249.5,36.34,304.17,771.6,15.78,21876.0
60,0,1,1.08,3 - BSc/MSc,1981.0,0,1.0,0,3.0,-67.32,0,89.24,-25.55,3.89,464.2,566.1099999999999,8.78,45144.0
61,1,0,0.61,2 - High School,1987.0,1,1.0,1,4.0,314.51,0,86.46,343.95,23.45,364.18,866.1600000000001,48.12,39108.0
62,0,1,1.19,3 - BSc/MSc,1982.0,0,0.0,0,3.0,-124.32,0,104.91,-45.55,17.78,452.53,575.2199999999999,-4.11,27528.0
63,0,1,0.78,3 - BSc/MSc,1998.0,0,0.0,1,1.0,132.27,0,261.27,175.6,6.89,276.83,720.5899999999999,-6.11,45120.0
64,0,0,1.0,3 - BSc/MSc,1984.0,1,1.0,0,3.0,-25.0,0,165.81,78.35,16.56,366.07,634.68,7.89,30528.0
65,0,0,1.06,2 - High School,1989.0,1,1.0,0,1.0,-90.01,1,202.26,530.65,32.34,152.03,1014.63,97.35,22392.0
66,2,0,0.33,2 - High School,1983.0,0,1.0,1,4.0,476.65,0,211.15,186.7,0.0,330.73,744.36,15.78,16788.0
67,1,1,0.36,3 - BSc/MSc,1989.0,0,1.0,1,4.0,316.98,0,151.03,-40.55,20.56,384.63,574.1099999999999,17.89,25428.0
68,0,0,0.84,2 - High School,1994.0,1,0.0,1,2.0,83.9,1,252.38,108.9,65.68,183.48,690.1200000000001,79.68,40584.0
69,0,0,0.72,3 - BSc/MSc,1985.0,1,1.0,1,4.0,195.82,1,286.61,236.7,70.79,150.03,777.36,33.23,13908.0
70,0,0,1.0,3 - BSc/MSc,1990.0,1,1.0,0,4.0,-25.0,1,242.6,217.25,56.9,213.15,789.8,59.9,38472.0
71,1,0,0.63,2 - High School,1993.0,1,1.0,1,1.0,272.61,1,223.71,264.5,51.12,246.49,806.6,20.78,28032.0
72,0,0,1.0,2 - High School,1985.0,1,1.0,0,1.0,-25.0,0,140.47,65.0,12.89,436.75,656.0,0.89,17280.0
73,1,0,0.66,3 - BSc/MSc,1996.0,1,1.0,1,4.0,234.83,0,217.82,211.7,22.67,289.5,771.3599999999999,29.67,35208.0
74,1,0,0.2,3 - BSc/MSc,1996.0,1,0.0,1,4.0,747.03,1,190.37,471.75,43.12,183.48,962.4000000000001,73.68,50352.0
75,0,0,0.85,2 - High School,1984.0,1,1.0,1,4.0,74.45,0,180.59,99.45,51.9,290.61,672.56,50.01,39408.0
76,0,1,1.04,4 - PhD,1978.0,0,1.0,0,3.0,-50.31,0,141.47,-6.1,6.89,429.86,578.22,-3.11,37092.0
77,1,0,0.42,3 - BSc/MSc,1978.0,1,0.0,1,4.0,352.96,0,150.25,83.35,48.12,342.73,654.6800000000001,30.23,46812.0
78,0,0,0.95,1 - Basic,1980.0,1,1.0,1,4.0,14.34,0,136.58,304.5,39.34,355.51,857.6,21.67,27816.0
79,1,1,0.46,2 - High School,1986.0,0,1.0,1,3.0,274.19,0,163.81,-25.55,29.56,368.07,579.2199999999999,17.78,17172.0
80,1,1,0.35,2 - High School,1992.0,0,1.0,1,2.0,308.31,0,104.02,-65.0,0.89,463.31,574.0,5.78,38808.0
81,1,0,0.33,3 - BSc/MSc,1995.0,1,1.0,1,1.0,423.53,0,209.93,132.25,30.56,291.39,669.7999999999998,5.67,21504.0
82,0,0,1.03,2 - High School,1997.0,1,1.0,0,3.0,-47.67,1,244.49,221.7,22.67,238.49,791.36,64.01,31872.0
83,2,0,0.61,3 - BSc/MSc,1976.0,1,0.0,1,3.0,317.83,0,114.91,344.5,7.0,399.63,874.7099999999999,8.67,29748.0
84,0,0,0.99,3 - BSc/MSc,1994.0,1,1.0,0,4.0,-19.22,0,166.81,307.85,7.89,326.06,814.39,5.78,19572.0
85,0,1,1.03,3 - BSc/MSc,1997.0,0,1.0,0,2.0,-46.0,0,17.67,55.0,-6.0,581.33,654.0,-1.0,29076.0
86,0,1,1.21,3 - BSc/MSc,1995.0,0,1.0,0,3.0,-139.11,1,291.5,-30.55,65.68,193.26,563.11,12.67,21348.0
87,0,0,1.05,3 - BSc/MSc,1989.0,1,0.0,0,4.0,-54.56,1,315.95,48.35,12.78,216.93,610.79,16.78,46320.0
88,1,0,0.4,3 - BSc/MSc,1991.0,1,1.0,1,3.0,402.18,0,214.04,163.35,38.23,282.61,717.6800000000001,19.45,16992.0
89,1,0,0.64,1 - Basic,1993.0,1,0.0,1,3.0,238.94,1,221.93,196.15,31.34,263.94,742.92,29.56,46836.0
90,0,0,1.06,3 - BSc/MSc,1987.0,1,1.0,0,1.0,-66.12,0,159.92,83.35,32.45,324.84,641.68,41.12,35712.0
91,1,0,0.44,3 - BSc/MSc,1982.0,1,1.0,1,4.0,400.86,0,136.47,192.8,11.67,393.63,755.13,20.56,23832.0
92,0,0,0.71,4 - PhD,1992.0,1,1.0,1,2.0,174.37,1,263.05,126.7,31.45,230.82,677.36,25.34,15240.0
93,0,0,1.0,3 - BSc/MSc,1976.0,1,1.0,0,4.0,-25.0,0,200.15,70.0,60.79,296.5,636.1099999999999,8.67,32016.0
94,0,1,1.12,3 - BSc/MSc,1992.0,0,1.0,0,4.0,-91.0,0,45.01,-20.0,-1.0,520.1,565.11,-8.0,33972.0
95,0,0,0.81,2 - High School,1996.0,1,0.0,1,4.0,120.47,1,224.82,244.5,26.56,169.81,784.5999999999999,118.91,47088.0
96,1,0,0.68,1 - Basic,1988.0,1,1.0,1,1.0,179.26,1,110.02,82.8,185.48,204.26,642.2399999999999,59.68,46440.0
97,0,0,0.94,2 - High School,1984.0,1,1.0,1,1.0,14.23,0,104.13,142.8,1.89,427.08,713.24,37.34,33660.0
98,0,0,1.05,2 - High School,1977.0,1,1.0,0,4.0,-55.56,0,133.47,69.45,23.67,424.97,658.4499999999999,6.89,32928.0
99,2,0,0.39,1 - Basic,1981.0,1,1.0,1,3.0,654.9,1,210.15,648.45,31.45,62.68,1108.76,156.03,32328.0
100,0,0,1.0,2 - High School,1981.0,1,1.0,0,4.0,-25.0,1,188.37,317.85,6.89,190.59,822.2800000000001,118.58,24852.0
101,1,0,0.53,3 - BSc/MSc,1975.0,1,0.0,1,2.0,257.84,1,219.82,48.35,67.68,234.49,598.7900000000001,28.45,38328.0
102,0,0,0.89,2 - High School,1996.0,1,1.0,1,1.0,46.12,0,170.92,73.9,37.23,349.4,634.2299999999999,2.78,28104.0
103,1,0,0.71,3 - BSc/MSc,1979.0,1,0.0,1,3.0,201.82,0,218.82,240.6,13.78,297.61,785.4799999999999,14.67,41760.0
104,0,0,0.77,2 - High School,1989.0,1,1.0,1,3.0,133.81,1,117.91,108.35,12.67,292.61,677.68,146.14,44076.0
105,0,0,0.93,1 - Basic,1991.0,1,1.0,1,4.0,71.24,1,97.24,912.95,213.04,79.68,1319.47,16.56,9168.0
106,1,1,0.54,2 - High School,1980.0,0,1.0,1,3.0,317.29,0,189.37,158.35,22.67,368.29,738.68,-1.11,25512.0
107,1,1,0.25,3 - BSc/MSc,1990.0,0,1.0,1,4.0,385.66,0,99.13,-35.55,1.0,482.09,582.22,-0.11,24468.0
108,1,0,0.43,3 - BSc/MSc,1991.0,1,0.0,1,3.0,343.52,0,108.91,72.8,35.23,330.95,647.24,99.35,42084.0
109,1,0,0.66,3 - BSc/MSc,1993.0,1,1.0,1,3.0,231.49,0,231.82,182.25,29.34,285.83,758.8,29.56,27084.0
110,1,1,0.49,3 - BSc/MSc,1992.0,0,1.0,1,4.0,344.3,0,136.58,187.25,9.78,405.3,738.91,-12.0,24708.0
111,1,0,0.48,2 - High School,1988.0,1,1.0,1,3.0,330.51,0,187.59,127.25,2.89,359.29,677.91,0.89,22008.0
112,1,0,0.14,3 - BSc/MSc,1994.0,1,1.0,1,1.0,498.54,0,71.68,10.0,7.89,506.54,611.0,14.89,32208.0
113,1,0,0.61,2 - High School,1979.0,1,1.0,1,4.0,283.95,1,178.7,251.7,29.34,279.61,800.25,60.9,37536.0
114,2,0,0.41,2 - High School,1978.0,1,1.0,1,3.0,525.88,1,246.49,437.3,43.12,142.47,939.84,70.46,26172.0
