,birth_year,educ,salary_year,location,has_children,mon_value,claims_rate,premium_motor,premium_household,premium_health,premium_life,premium_work_comp,customer_since,is_family_policy,premium_total,cancelled_contracts,nr_contracts,p_cluster,c_cluster
0,1982.0,2 - High School,26124.0,1.0,1.0,380.97,0.39,375.85,79.45,146.36,47.01,16.89,1985.0,0,665.5600000000001,0,5,2,0
1,1995.0,2 - High School,8124.0,4.0,1.0,-131.13,1.12,77.46,416.2,116.69,194.48,106.13,1995.0,1,910.9599999999999,0,5,0,2
2,1970.0,1 - Basic,27324.0,3.0,0.0,504.67,0.28,206.15,224.5,124.58,86.35,99.02,1991.0,0,740.6,0,5,0,0
3,1981.0,3 - BSc/MSc,13188.0,4.0,1.0,-16.99,0.99,182.48,43.35,311.17,35.34,28.34,1990.0,0,600.6800000000001,0,5,1,2
4,1973.0,3 - BSc/MSc,21156.0,4.0,1.0,35.23,0.9,338.62,47.8,182.59,18.78,41.45,1986.0,0,629.24,0,5,1,2
5,1956.0,2 - High School,30792.0,4.0,1.0,-24.33,1.0,440.75,18.9,114.8,7.0,7.67,1986.0,0,589.1199999999999,0,5,2,1
6,1943.0,2 - High School,49236.0,4.0,0.0,-66.01,1.05,156.92,295.6,317.95,14.67,26.34,1979.0,0,811.48,0,5,1,1
7,1974.0,2 - High School,20916.0,4.0,1.0,-144.91,1.13,248.27,397.3,144.36,66.68,53.23,1988.0,0,909.8400000000001,0,5,1,2
8,1978.0,3 - BSc/MSc,22344.0,1.0,1.0,356.53,0.36,344.51,18.35,210.04,8.78,9.89,1981.0,0,591.5699999999999,0,5,1,0
9,1948.0,3 - BSc/MSc,46104.0,1.0,0.0,-119.35,1.12,209.26,182.25,271.94,39.23,55.12,1976.0,0,757.8000000000001,0,5,1,1
10,1945.0,3 - BSc/MSc,47940.0,4.0,0.0,290.17,0.53,296.5,116.7,227.71,18.67,10.89,1990.0,0,670.4699999999999,0,5,1,1
11,1958.0,3 - BSc/MSc,34008.0,3.0,1.0,405.74,0.46,249.49,216.7,252.38,36.34,35.45,1985.0,0,790.36,0,5,1,0
12,1949.0,3 - BSc/MSc,45084.0,1.0,0.0,2.34,0.97,206.04,340.05,257.05,43.12,15.78,1981.0,0,862.0400000000001,0,5,1,1
13,2000.0,1 - Basic,12516.0,3.0,1.0,-75.12,1.06,44.34,342.85,127.69,267.94,94.46,2000.0,1,877.2800000000002,0,5,0,2
14,1975.0,2 - High School,23772.0,1.0,1.0,-89.0,1.12,504.43,-70.0,72.79,10.89,16.89,1983.0,0,605.0,1,4,2,2
15,1979.0,3 - BSc/MSc,11688.0,4.0,1.0,290.06,0.53,318.06,93.9,247.49,-3.0,19.67,1988.0,0,679.12,1,4,1,2
16,1989.0,2 - High School,29244.0,1.0,1.0,100.58,0.89,119.8,647.35,168.92,125.58,37.23,1991.0,0,1098.8799999999999,0,5,0,2
17,1970.0,3 - BSc/MSc,32736.0,4.0,1.0,78.91,0.85,446.64,107.8,86.35,3.89,27.56,1981.0,0,672.2399999999999,0,5,2,1
18,1982.0,1 - Basic,16968.0,3.0,1.0,230.38,0.71,313.17,373.4,121.8,14.78,72.57,1982.0,1,895.7199999999998,0,5,1,2
19,1962.0,4 - PhD,33012.0,1.0,1.0,352.96,0.36,402.41,9.45,125.69,24.45,30.56,1988.0,0,592.56,0,5,2,0
20,1986.0,4 - PhD,20448.0,4.0,1.0,373.73,0.39,329.84,65.0,221.93,3.89,33.34,1986.0,1,654.0,0,5,1,0
21,1986.0,2 - High School,17940.0,1.0,1.0,-89.79,1.08,209.04,308.95,192.48,64.79,54.9,1986.0,1,830.16,0,5,1,2
22,1961.0,2 - High School,34440.0,4.0,1.0,290.05,0.64,222.04,329.5,248.38,48.01,33.56,1998.0,0,881.49,0,5,1,0
23,1952.0,3 - BSc/MSc,38412.0,4.0,0.0,108.13,0.81,420.3,128.35,135.58,15.67,4.78,1988.0,0,704.68,0,5,2,1
24,1944.0,4 - PhD,45312.0,2.0,0.0,376.3,0.41,383.74,103.9,154.14,17.56,15.78,1974.0,0,675.1199999999999,0,5,2,0
25,1937.0,4 - PhD,51372.0,3.0,0.0,430.86,0.38,330.84,162.8,228.82,-5.0,22.78,1978.0,0,745.24,1,4,1,0
